Developer,Category,Stage,Anticipated Next Steps,Funder,Date Last Updated
Osaka University/ AnGes/ Takara Bio/ Cytiva/ Brickell Biotech,DNA-based,Phase II/III,"Phase II/III trial began December 2020; Pre-clinical study results released October 2020; Phase I/II trials began end of June (AG0301) and August (AG0302) 2020, results expected during Q1 2021",Unknown,1/31/2021
"Genexine Consortium (GenNBio, International Vaccine Institute, Korea Advanced Institute of Science and Technology (KAIST), Pohang University of Science and Technology (POSTECH)/ Binex/ PT Kalbe Pharma",DNA-based,Phase I/II,Updated development plan to GX-19N formula and will reconduct Phase I/IIa study as of December 2020. Phase I of Phase I/IIa study began end of June 2020; Animal study results announced August 2020,Unknown,1/31/2021
Chula Vaccine Research Center,DNA-based,Pre-clinical,Unknown,Unknown,9/23/2020
"National
  Research Centre, Egypt",DNA-based,Pre-clinical,Unknown,Unknown,6/30/2020
Ege University Drug Development and Pharmacokinetic Research Application Center (ARGEFAR)/ Scientific and Technological Research Council of Turkey (TUBITAK),DNA-based,Pre-clinical,Unknown,Unknown,9/23/2020
"Statens Serum Institute, Denmark",DNA-based,Pre-clinical,Phase I is expected to start in late 2020 or early 2021,Folketing's Finance Committee,11/16/2020
"Globe Biotech Limited, Bangladesh",DNA-based,Pre-clinical,Unknown,Unknown,11/9/2020
"National Institute of Chemistry, Slovenia",DNA-based,Pre-clinical,Unknown,Unknown,11/9/2020
OncoSec Medical Incorporated / Providence Cancer Institute ,DNA-based,Phase I,Phase I dosed January 2021,Unknown,2/2/2021
"GeneOne
  Life Science",DNA-based,Phase I/II,Phase I/IIa began December 2020,Unknown,1/18/2021
"Valneva/ Dynavax/ National Institute for Health Research, United Kingdom",Inactivated virus,Phase I/II,Phase I/II began December 2020,Unknown,1/31/2021
Beijing Institute of Biological Products/ Sinopharm ,Inactivated virus,Phase III,"Hungary granted ""emergency use"" approval on 1/29/2021; Pakistan granted ""emergency use authorization"" on 1/18/2021; China ""granted conditional market approval"" on 12/31/2020; Midterm clinical results released on 12/30/2020; Bahrain National Health Regulatory Authority (NHRA) ""approved"" on 12/13/2020; UAE Ministry of Health and Prevention (MOHAP) announced ""official registration"" on 12/9/2020, following review of Phase III interim analysis; Phase I/II results published October 2020; Phase III trial began July 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)",Unknown,1/31/2021
Wuhan Institute of Biological Products/ Sinopharm,Inactivated virus,Phase III,"Applied for regulatory approval in China as of February 2021; Phase III trial began July 2020; Phase I/II early trial results released June 2020, Phase I/II interim analysis published August 2020; Received early approval for ""emergency use"" in China (Aug 2020) and the UAE (Sep 2020)",Unknown,2/22/2021
"Research Institute for Biological Safety Problems, Republic of Kazakhstan",Inactivated virus,Phase III,"Kazakhstan granted ""temporary registration for nine months"" as of 1/13/2021; Phase III began December 2020; Phase I/II began September 2020",Unknown,1/18/2021
"Institute of Medical Biology, Chinese Academy of Medical Sciences",Inactivated virus,Phase III,"Phase III dosed (Malaysia) late January 2021; Phase II began June 2020; Phase I began May 2020, results released October 2020",Unknown,1/31/2021
Sinovac/ Dynavax,Inactivated virus,Pre-clinical,Unknown,Unknown,4/28/2020
Osaka University / BIKEN / NIBIOHN,Inactivated virus,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Sinovac/ Instituto Butantan/ Bio Farma,Inactivated virus,Phase III,"China's NMPA granted ""conditional marketing authorization"" on 2/8/2021; Phase III results (Brazil, Turkey, Indonesia, Chile) announced on 2/5/2021; Phase I/II safety, tolerability, and immunogenicity data in adults aged 60 years and older published on 2/3/2021; Sinovac filed for ""conditional market authorization"" with China’s National Medical Products Administration (NMPA) on 2/3/2021; Chile granted ""emergency use"" approval on 1/20/2021; Brazil granted ""temporary authorization for emergency use"" on 1/17/2021; Turkey granted ""emergency use authorization"" on 1/31/2021; Indonesia granted ""emergency use approval"" on 01/11/2021; Phase III efficacy results (Brazil) released early January 2021; Phase I/II complete analysis results published 11/17/2020; Phase III trial resumed in Brazil on 11/11/2020, Phase III trial suspended in Brazil on 11/09/2020; Received approval for Phase I/II trial in adolescents and children in September 2020; Phase III trial began end of July 2020; Phase II began June 2020, mid-phase II results released August 2020; Preliminary results from Phase I/II trials released June and September 2020 (aged 60+) 2020; Received early approval for ""emergency use"" in China (Aug 2020)",Unknown,2/11/2021
"Shenzhen Kangtai Biological Products Co.,Ltd./ Beijing Minhai Biotechnology Co., Ltd.",Inactivated virus,Phase II,Phase I/II study began October 2020,Unknown,1/31/2021
"National Research Centre, Egypt",Inactivated virus,Pre-clinical,Unknown,Unknown,6/30/2020
KM Biologics,Inactivated virus,Pre-clinical,Unknown,Unknown,7/9/2020
Selcuk University,Inactivated virus,Pre-clinical,Unknown,Unknown,9/23/2020
Bharat Biotech/ Indian Council of Medical Research/ National Institute of Virology/ Ocugen/ Precisa Medicamentos,Inactivated virus,Phase III,"Phase III interim analysis results announced 3/3/2021; Neutralization of UK-variant with vaccine-elicited sera announced January 2021; India granted ""permission for emergency use"" on 01/03/2021; Phase I and II safety and immunogenicity data released December 2020 and published January 2021; Phase III began November 2020; Phase I/II study: Phase I began July 2020 and Phase II began September 2020, initial results expected September 2020; Animal study results released September 2020",Unknown,3/4/2021
Erciyes University,Inactivated virus,Phase II,"Phase II dosed February 2021; Phase I began November 2020, completed on December 14, 2020",Unknown,2/12/2021
Kocak Farma Ilac ve Kimya San. A.S.,Inactivated virus,Pre-clinical,Unknown,Unknown,11/9/2020
Institute of Vaccines and Medical Biologicals (IVAC; Vietnam) / Dynavax / PATH,Inactivated virus,Pre-clinical,Unknown,Unknown,11/9/2020
"Government
  Pharmaceutical Organization (GPO; Thailand) / Dynavax / PATH",Inactivated virus,Pre-clinical,Unknown,Unknown,11/9/2020
"Institute
  Butantan (Brazil) / Dynavax / PATH",Inactivated virus,Pre-clinical,Unknown,Unknown,11/9/2020
Shifa Pharmed Industrial Co,Inactivated virus,Phase I,Phase I began end of December 2020,Unknown,3/4/2021
Indian Immunologicals Ltd/ Griffith University,Live attenuated virus,Pre-clinical,Unknown,Unknown,4/28/2020
Codagenix / Serum Institute of India,Live attenuated virus,Phase I,"Phase I trial dosed January 2021, initial data expected by mid-2021; Phase I recruitment began December 2020",Unknown,1/31/2021
Meissa Vaccines ,Live attenuated virus,Pre-clinical,Phase I enrollment expected to begin in the U.S. by the end of March 2021,Unknown,3/16/2021
Mehmet Ali Aydinlar University/ Acıbadem Labmed Health Services A.S.,Live attenuated virus,Pre-clinical,Unknown,Unknown,7/9/2020
Greffex,Non-replicating viral vector,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
ReiThera/ Leukocare/ Univercells/ National Institute of Infectious diseases Lazzaro Spallanzani ,Non-replicating viral vector,Phase I,"Phase II/III is expected to begin March 2021; Phase I advanced to second set of three cohorts (aged 65-85 years) in November 2020; Phase I began August 2020, completed the first set of three cohorts (aged 18-55 years), preliminary results announced November 2020; Phase II/III trial expected to begin in the coming months",Unknown,3/16/2021
Stabilitech Biopharma Ltd,Non-replicating viral vector,Pre-clinical,Unknown,Unknown,5/4/2020
Bharat Biotech/ Thomas Jefferson University,Non-replicating viral vector,Pre-clinical,Pre-clinical data published October 2020,Unknown,2/27/2021
GeoVax / BravoVax/ NIAID/ NIH/ University of Texas Medical Branch ,Non-replicating viral vector,Pre-clinical,"Awarded a Small Business Innovative Research (SBIR) grant in January 2021 to support the ongoing design, construction, and preclinical testing in preparation for human clinical trials",National Institute of Allergy and Infectious Diseases (NIAID)/National Institutes of Health (NIH),1/25/2021
CanSino Biologics/ Beijing Institute of Biotechnology/ Petrovax ,Non-replicating viral vector,Phase III,"Filed ""conditional marketing authorization"" with China's National Medical Products Administration (NMPA) on 2/24/2021; Phase III dosed September 2020; Phase II began April 2020, initial results released May 2020, mid-phase results released July 2020; China’s Central Military Commission ""approved the use of the vaccine by the military"" in June 2020",Unknown,2/25/2021
Altimmune / University of Alabama at Birmingham,Non-replicating viral vector,Pre-clinical,Phase I commenced enrollment on 2/25/2021; Phase I expected to begin February 2021; FDA issued clinical hold for planned Phase I trial on 12/22/2020;Pre-clinical data released October 2020,Unknown,2/27/2021
German Center for Infection Research (DZIF)/ IDT Biologika GmbH/ Universitätsklinikum Hamburg-Eppendorf/ Philipps University Marburg Medical Center/ Ludwig-Maximilians University of Munich,Non-replicating viral vector,Phase I,"Clinical testing suspended January 2021, Phase II postponed until further notice; Phase I dosed October 2020",Unknown,1/14/2021
ImmunityBio/ NantKwest,Non-replicating viral vector,Phase I,"Phase I dosed in South Africa and the U.S. in March 2021; FDA authorized the expansion of the active Phase I trial and a second trial to test a novel combination of T-cell-based hAd5 subcutaneous prime vaccine with a room-temperature oral or sublingual boost; Phase I interim data announced November 2020; Pre-clinical data released December, November, and July 2020; Phase I trial dosed in the U.S. in October 2020; Selected for US Operation Warp Speed in May 2020",Unknown,3/14/2021
Valo Therapeutics Ltd,Non-replicating viral vector,Pre-clinical,Unknown,Unknown,5/4/2020
Shenzhen Geno-Immune Medical Institute,Non-replicating viral vector,Phase I/II,Phase I/II reportedly began March 2020,Unknown,1/31/2021
"Centro Nacional Biotecnologia (CNB-CSIC), Spain",Non-replicating viral vector,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Janssen Pharmaceutical Companies/ Beth Israel Deaconess Medical Center/ Emergent BioSolutions/ Catalent/ Biological E/ Grand River Aseptic Manufacturing (GRAM)/ Sanofi/ Merck,Non-replicating viral vector,Authorized,"Granted Conditional Marketing Authorization by European Commission on 3/11/2021; Granted ""Interim Order (IO) authorization"" for emergency use by Health Canada on 3/5/2021; U.S. CDC's Advisory Committee on Immunization Practices (ACIP) has recommended the first single-shot COVID-19 vaccine for individuals 18 years of age and older on 2/28/2021; U.S. FDA issued ""emergency use authorization"" on 2/27/2021; Submitted ""emergency use listing"" to the World Health Organization (WHO) on 2/19/2021; Submitted ""conditional marketing authorisation application"" to the European Medicines Agency (EMA) on 2/16/2021; Janssen submitted application for ""emergency use authorization"" to the U.S. FDA on 2/4/2021; Phase III interim analysis results announced 1/29/2021; Phase I/IIa interim results published 1/13/2021; Phase III trial to study the safety and efficacy of a two-dose regimen began 11/15/2020 (ENSEMBLE 2); Phase III trial (ENSEMBLE) resumed recruitment on 10/23/2020, fully enrolled with ~45,000 participants as of 12/17/2020, interim data expected by the end of January 2021; Janssen Pharmaceutical Companies of Johnson & Johnson voluntarily paused dosing to allow independent review of safety data on 10/12/2020; Phase III trial (ENSEMBLE) began and study protocol released September 2020; Phase I/IIa began end of July 2020, interim results released September 2020; Animal study results published July and September 2020; Selected for US Operation Warp Speed in February 2020 and awarded funding in August 2020",Biomedical Advanced Research and Development Authority (BARDA),3/14/2021
Vaxart/ Emergent BioSolutions,Non-replicating viral vector,Phase I,"Phase II expected to begin Q2 2021; Phase I preliminary data announced 2/3/2021; Phase I dosed October 2020; FDA clearance for Phase I trial received September 2020, recruiment expected to begin September 2020; Pre-clinical results released September 2020; Data from ongoing animal challenge study released October and November 2020",Unknown,3/9/2021
University of Georgia/ University of Iowa,Non-replicating viral vector,Pre-clinical,Unknown,Unknown,4/28/2020
"University of Oxford, Oxford Biomedica, Vaccines Manufacturing and Innovation Centre, Pall Life Sciences, Cobra Biologics, HalixBV, Advent s.r.l., Merck KGaA, the Serum Institute, Vaccitech, Catalent, CSL, and AstraZeneca/IQVIA",Non-replicating viral vector,Authorized,"World Health Organization (WHO) granted Emergency Use Listing (EUL) on 2/15/2021; Phase II study in children between the ages of 6 and 17 years expected to begin in February 2021; Phase III (U.K., Brazil) and Phase I/II (U.K., South Africa) analyses data released on 2/3/2021; European Union (EU) granted ""conditional marketing authorisation"" on 1/29/2021; Brazil granted ""temporary authorization for emergency use"" on 1/17/2021; Pakistan granted ""emergency use authorization"" on 1/15/2021; India granted ""emergency use authorisation"" as well as Dominican Republic, El Salvador, Mexico and Morocco as of 1/6/2021; Argentina authorized under ""emergency registration"" on 12/30/2020;  U.K. ""authorised for emergency supply"" on 12/30/2020; Phase I/II data (w/ booster dose) published on 12/17/2020; Phase III trials interim analysis results published 12/8/2020; Phase II/III (COV002) and Phase III (COV003) trial pooled interim analysis results released on 11/23/2020; Phase II/III trial interim results released Nov 2020; Study protocol for late-stage clinical trials released September 2020; AstraZeneca clinical trials resumed globally (in the UK on 9/14/2020, Brazil and South Africa on 9/15/2020, Japan on 10/2/2020, and the US on 10/23/2020); AstraZeneca voluntarily paused vaccination to allow independent review of safety data on 9/8/2020; Phase III trial began Jun 2020 and expanded into US in Aug 2020; Phase II/III began May 2020; Phase I/II trial interim results released Jul 2020; Selected for US Operation Warp Speed in May 2020","Coalition for Epidemic Preparedness Innovations (CEPI)/ UK Government/ Biomedical Advanced Research and Development Authority (BARDA)/ Gavi, the Vaccine Alliance",2/16/2021
"IDIBAPS- Hospital Clinic, Spain",Non-replicating viral vector,Pre-clinical,Unknown,Unknown,6/1/2020
"National Center for Genetic Engineering and Biotechnology (BIOTEC)/ GPO, Thailand",Non-replicating viral vector,Pre-clinical,Unknown,Unknown,6/1/2020
"Massachusetts Eye and Ear/ AveXis, a Novartis Company/  Viralgen/ Aldevron/ Catalent/ Penn Medicine",Non-replicating viral vector,Pre-clinical,Pre-clinical results released January 2021; Phase I to begin second half of 2020,Gates Foundation,1/29/2021
Gamaleya Research Institute,Non-replicating viral vector,Phase III,"Announced the start of the rolling review process with the European Medicines Agency (EMA) on 3/4/2021; Authorized for ""emergency use"" in 39 countries as of March 2021; Phase III interim analysis results published on 2/2/2021; ""Registered"" in Belarus in December 2020; Phase III final control point data analysis results released December 2020, interim data analysis results released November 2020; Phase III (post-registration) trial began September 2020; Phase I/2 began June 2020, results published September 2020; Russian Ministry of Health ""registered"" vaccine in August 2020, Mass production expected to begin September 2020",Russian Direct Investment Fund (RDIF),3/9/2021
"National
  Research Centre, Egypt",Non-replicating viral vector,Pre-clinical,Unknown,Unknown,6/30/2020
ID Pharma,Non-replicating viral vector,Pre-clinical,Unknown,Unknown,7/9/2020
Ankara University,Non-replicating viral vector,Pre-clinical,Unknown,Unknown,7/9/2020
Erciyes University,Non-replicating viral vector,Pre-clinical,Unknown,Unknown,8/3/2020
"Institut
  Pasteur/ TheraVectys",Non-replicating viral vector,Pre-clinical,Animal study results released July 2020,Unknown,9/2/2020
"CanSino Biologics/ Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",Non-replicating viral vector,Pre-clinical,Phase I recruitment began end of September 2020,Unknown,11/2/2020
University of Helsinki/ University of Eastern Finland,Non-replicating viral vector,Pre-clinical,Unknown,Unknown,11/9/2020
"Globe Biotech Limited, Bangladesh",Non-replicating viral vector,Pre-clinical,Unknown,Unknown,11/9/2020
"City of
  Hope Medical Center",Non-replicating viral vector,Phase I,Phase I dosed December 2020,Unknown,2/27/2021
Bharat Biotech International Limited,Non-replicating viral vector,Pre-clinical,Phase I expected to begin March 2021,Unknown,2/27/2021
Heat Biologics (Zolovax)/ University of Miami/ Waisman Biomanufacturing,Protein subunit,Pre-clinical,Animal data released August 2020,Unknown,8/13/2020
Sanofi Pasteur/ GSK,Protein subunit,Phase II,Phase II with refined antigen formulation began February 2021; Phase I/II interim safety and immunogenicity results released January 2021; Phase IIb expected to begin February 2021; Phase I/II interim results announced December 2020; Phase I/II began September 2020; Selected for US Operation Warp Speed in April 2020 and awarded funding in July 2020,Biomedical Advanced Research and Development Authority (BARDA)/ US Department of Health and Human Services (HHS)/ US Department of Defense (DoD),3/9/2021
iBio / CC-Pharming,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
ImmunoPrecise/ LiteVax BV,Protein subunit,Pre-clinical,Unknown,TRANSVAC2,7/15/2020
Novavax/Emergent Biosolutions/ Praha Vaccines/ Biofabri/ Fujifilm Diosynth Biotechnologies/ FDB/ Serum Institute of India/ SK bioscience/ Takeda Pharmaceutical Company Limited/ AGC Biologics/ PolyPeptide Group/ Endo,Protein subunit,Phase III,"Phase III (UK) and Phase IIb ( South Africa) final efficacy results released 3/11/2021; Phase I/II trial dosed in Japan on 2/26/2021; Phase III trial (PREVENT-19) completed enrollment in the US and Mexico on 2/22/2021; Announced the start of the rolling review process with several regulatory agencies worldwide on 2/4/2021, including the European Medicines Agency (EMA), U.S. Food and Drug Administration (FDA), U.K. Medicines and Healthcare products Regulatory Agency (MHRA), and Health Canada; Phase III (UK) and Phase IIb ( South Africa) interim results released 1/28/2021; Phase III trial (PREVENT-19) initiated in the US and Mexico in December 2020, trial protocol released on website; FDA granted Fast Track Designation on 11/9/2020; Phase III dosed in the UK in October 2020, trial protocol released on website, interim data expected to be released in Q1 2021; Phase IIb trial began Aug 2020; Selected for US Operation Warp Speed July 2020; Phase I/II began end of May 2020, interim data expected to be released on 10/30/2020; Animal study & preliminary Phase I results released Aug 2020, Phase I results published Sept 2020",Coalition for Epidemic Preparedness (CEPI)/ US Department of Defense/ Gates Foundation,3/14/2021
Vaxine Pty Ltd/ Flinders University/ Oracle/ Medytox/ Sypharma/ Oxford Expression Technologies,Protein subunit,Phase I,Phase I trial began July 2020,Innovate UK/ Australian Government,10/1/2020
"Shionogi & Co., Ltd./ National Institute of Infectious Disease, Japan",Protein subunit,Phase I/II,Phase I/II began December 2020,Japan Agency for Medical Research and Development ,1/5/2021
ExpreS2ion,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
"LakePharma, Inc.",Protein subunit,Pre-clinical,Unknown,Unknown,5/4/2020
Axon Neuroscience SE,Protein subunit,Pre-clinical,Pre-clinical results released September 2020,Unknown,11/16/2020
Medigen Vaccine Biologics Corp/ NIAID/ Dynavax,Protein subunit,Phase II,Phase II dosed January 2021; Phase I dosed in early October 2020; Received conditional approval for clinical testing on Aug 31 and was given full approval on Sept 30; Pre-clinical data released August 2020 and published November 2020,Unknown,1/28/2021
Baylor College of Medicine,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Innovax / Xiamen University / GSK,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Quadram Institute Biosciences,Protein subunit,Pre-clinical,Unknown,Unknown,5/12/2020
"Anhui Zhifei Longcom Biopharmaceutical/ Institute of Microbiology, Chinese Academy of Sciences",Protein subunit,Phase III,Phase III began December 2020; Phase I and II safety and immunogenicity data released December 2020; Phase II began July 2020; Received approval to launch clinical trials in China in June 2020,Unknown,12/30/2020
Yisheng Biopharma,Protein subunit,Pre-clinical,Unknown,Unknown,5/4/2020
"University of California, San Diego",Protein subunit,Pre-clinical,Unknown,National Science Foundation (Rapid Response Research [RAPID] grant),4/28/2020
Intravacc/Epivax,Protein subunit,Pre-clinical,Unknown,Unknown,5/19/2020
AJ Vaccines,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
"VIDO-InterVac, University of Saskatchewan",Protein subunit,Phase I/II,Phase I/II dosed February 2021; Animal testing results expected in April 2020,The Government of Saskatchewan and the Canadian Federal Government,2/27/2021
MIGAL Galilee Research Institute,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Biological E Ltd/ Dynavax/ Baylor College of Medicine,Protein subunit,Phase I/II,"CEPI partnership announced December 2020; Phase I/II began November 2020, interim data expected Q1 2021",Coalition for Epidemic Preparedness Innovations (CEPI),1/5/2021
OncoGen,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Covaxx/ University of Nebraska Medical Center (UNMC)/ DASA/ United Biomedical Inc. Asia,Protein subunit,Phase I,"Phase I interim data announced 2/8/2021; Phase II began February 2021; Phase II clinical trials granted conditional approval by Taiwan's Ministry of Health and Welfare on 1/29/2021; Phase II/III expected to begin (US, Brazil, Taiwan, and India) in early 2021; Phase I began September 2020; Large scale human efficacy clinical trials expected to be conducted in Brazil and the US",Ministry of Health and Welfare in Taiwan,3/9/2021
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Protein subunit,Pre-clinical,Unknown,Unknown,8/31/2020
"Applied Biotechnology Institute, Inc.",Protein subunit,Pre-clinical,Unknown,Unknown,5/12/2020
University of Alberta,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
St. Petersburg Scientific Research Institute of Vaccines and Serums,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
AdaptVac (PREVENT-nCoV consortium),Protein subunit,Pre-clinical,Pre-clinical data published January 2021; initial Phase I/IIa results expected to be released in Q1 2021,European Commission (Horizon 2020 Program),1/25/2021
Clover Biopharmaceuticals Inc./ Dynavax,Protein subunit,Phase I,"Clover and GSK discontinued their partnership as of February 2021; Phase I safety and immunogenicity data released December 2020 and published January 2021; Phase II/III trial with Dynavax adjuvant expected to begin during first half of 2021; Phase II/III trial with GSK adjuvant is not expected to move forward; Pre-clinical results released September 2020; CEPI partnership expanded in July and November 2020, Phase I trial began June 2020, preliminary results expected in the near future",Coalition for Epidemic Preparedness (CEPI),2/11/2021
Walter Reed Army Institute of Research (WRAIR) / U.S. Army Medical Research and Development Command,Protein subunit,Pre-clinical,Phase I expected to begin April 2021,Unknown,3/9/2021
Flow Pharma,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Neovii/Tel Aviv University,Protein subunit,Pre-clinical,Unknown,Unknown,5/19/2020
Sorrento Therapeutics,Protein subunit,Pre-clinical,Animal study results released July 2020,Unknown,8/17/2020
EpiVax / University of Georgia,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Generex / EpiVax,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Vaxil Bio,Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
BiOMVis Srl/ University of Trento,Protein subunit,Pre-clinical,Unknown,Unknown,5/12/2020
University of Pittsburgh,Protein subunit,Pre-clinical,Phase I to start as early as June 2020,Unknown,Prior to 4/20/2020
SK Biosciences/ GSK,Protein subunit,Pre-clinical,Phase I/II enrollment began February 2021,Gates Foundation/ Coalition for Epidemic Preparedness (CEPI),2/12/2021
"Osaka University / BIKEN / National Institutes of Biomedical Innovation, Japan",Protein subunit,Pre-clinical,Unknown,Unknown,Prior to 4/20/2020
Vabiotech,Protein subunit,Pre-clinical,Unknown,Unknown,11/16/2020
AnyGo Technology,Protein subunit,Pre-clinical,Unknown,Unknown,5/4/2020
"Federal Budgetary Research Institution (FBRI) State Research Center of Virology and Biotechnology ""VECTOR""",Protein subunit,Phase I/II,Efficacy results expected to be announced in February 2021; Received early approval for use in Russia in October 2020; Phase I/II trial began end of July 2020,Unknown,1/19/2021
UMN Pharma (Shionogi),Protein subunit,Pre-clinical,Phase I to start by end of 2020,Japan Agency for Medical Research and Development,5/10/2020
"IMV, Inc., Canadian Center for Vaccinology at Dalhousie University, Izaak Walton Killam Health Center, Nova Scotia Health Authority, Canadian Immunization Research Network, University of Laval, Global Urgent and Advanced Research and Development in Canada",Protein subunit,Pre-clinical,Phase I/II expected to begin by end of 2020,"National Research Council of Canada Industrial Research Assistance Program (NRC IRAP), Atlantic Canada Opportunities Agency (ACOA), and Next Generation Manufacturing Canada (NGen)",11/16/2020
EpiVax ,Protein subunit,Pre-clinical,Unknown,Unknown,5/27/2020
Lomonosov Moscow State University,Protein subunit,Pre-clinical,Unknown,Unknown,5/27/2020
Kentucky BioProcessing (British American Tobacco),Protein subunit,Pre-clinical,"Phase I/II began recruiting December 2020, results expected mid-2021",Unknown,2/27/2021
"Chulalongkorn University/ GPO, Thailand",Protein subunit,Pre-clinical,Unknown,Unknown,6/1/2020
PDS Biotechnology,Protein subunit,Pre-clinical,Unknown,Unknown,6/2/2020
"Verndari/ University of California, Davis",Protein subunit,Pre-clinical,"Preliminary pre-clinical results are expected in the second half of 2020, Phase I trial is expected to begin thereafter; Selected by BARDA DRIVe for support in August 2020","Biomedical Advanced Research and Development Authority (BARDA) Division of Research, Innovation, and Ventures (DRIVe)",8/27/2020
Max-Planck Institute of Colloids and Interfaces,Protein subunit,Pre-clinical,Unknown,KHAN-1 Technology Transfer Fund I GmbH & Co KG,11/10/2020
"MOGAM Institute for Biomedical Research, GC Pharma",Protein subunit,Pre-clinical,Unknown,Unknown,11/16/2020
"University of San Martin and CONICET, Argentina",Protein subunit,Pre-clinical,Unknown,Unknown,6/12/2020
Intravacc/Epivax,Protein subunit,Pre-clinical,Unknown,Unknown,6/12/2020
Baiya Phytopharm/ Chula Vaccine Research Center,Protein subunit,Pre-clinical,Unknown,Unknown,6/18/2020
"Helix Biogen Consult, Ogbomoso & Trinity Immonoefficient Laboratory, Ogbomoso, Oyo State, Nigeria",Protein subunit,Pre-clinical,Unknown,Unknown,6/30/2020
"National
  Research Centre, Egypt",Protein subunit,Pre-clinical,Unknown,Unknown,6/30/2020
University of Virginia,Protein subunit,Pre-clinical,Unknown,Unknown,7/8/2020
Izmir Biomedicine and Genome Center,Protein subunit,Pre-clinical,Unknown,Unknown,7/9/2020
Bogazici University,Protein subunit,Pre-clinical,Unknown,Unknown,7/9/2020
InnoMedica,Protein subunit,Pre-clinical,Unknown,Unknown,7/9/2020
